,idstd,Ancienneté,size_Large,size_Medium,size_Small,colab,Innovation,Secteur_Service,Secteur_Production,IT,R&D,Country_BA,Country_NE,Country_PA
854,531802,-0.4089001633836862,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
855,531803,0.011933697490703289,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
856,531805,0.3626285815526945,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
857,531806,-0.19848323294649145,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
858,531807,0.3626285815526945,1,0,0,0.0,1.0,0,1,1.0,1.0,1,0,0
859,531808,-0.7595950474456774,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
860,531809,0.15221165111549978,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
861,531810,-0.4790391401960844,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
862,531811,-0.7595950474456774,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
863,531813,-0.6193170938208808,1,0,0,1.0,1.0,0,1,1.0,1.0,1,0,0
864,531816,-0.4790391401960844,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
865,531817,0.5730455119898892,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
866,531819,-0.6193170938208808,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
867,531820,-0.4790391401960844,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
868,531821,-0.5491781170084826,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
869,531822,-1.1102899315076686,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
870,531823,-0.4790391401960844,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
871,531824,-0.4790391401960844,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
872,531825,0.502906535177491,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
873,531826,-0.4790391401960844,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
874,531827,-1.1102899315076686,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
875,531828,-0.5491781170084826,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
876,531829,-1.1102899315076686,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
877,531830,-1.0401509546952703,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
878,531831,-0.058205279321694954,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
879,531832,-1.1102899315076686,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
880,531833,0.08207267430310153,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
881,531834,-0.4089001633836862,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
882,531837,-0.2686222097588897,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
883,531838,-0.3387611865712879,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
884,531839,-0.3387611865712879,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
885,531840,-0.6894560706332792,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
